brand,model,prod_year,mileage,engine_capacity,fuel_type,power,gearbox,body_type,doors,seats,color,condition,price
Peugeot,508,2011,220 840 km,1 560 cm3,Diesel,112 KM,Automatyczna,Sedan,4.0,5.0,Czarny,Używane,32 900        PLN
Peugeot,307,2005,366 000 km,1 997 cm3,Diesel,90 KM,Manualna,Kombi,5.0,5.0,Niebieski,Używane,3 500        PLN
Peugeot,2008,2022,20 000 km,1 199 cm3,Benzyna,130 KM,Automatyczna,SUV,5.0,5.0,Czerwony,Używane,129 000        PLN
Peugeot,3008,2014,178 000 km,1 997 cm3,Diesel,150 KM,Manualna,SUV,5.0,5.0,Czarny,Używane,46 900        PLN
Peugeot,508,2021,29 181 km,1 598 cm3,Benzyna,180 KM,Automatyczna,Sedan,5.0,5.0,Biały,Używane,134 900        PLN
Peugeot,2008,2014,165 000 km,1 560 cm3,Diesel,92 KM,Manualna,SUV,5.0,5.0,Biały,Używane,35 900        PLN
Peugeot,206,2001,189 000 km,1 360 cm3,Benzyna,75 KM,Manualna,Auta miejskie,3.0,5.0,Szary,Używane,3 100        PLN
Peugeot,Partner,2010,217 000 km,1 560 cm3,Diesel,109 KM,Manualna,Minivan,5.0,5.0,Czerwony,Używane,26 900        PLN
Peugeot,4008,2012,189 000 km,1 800 cm3,Diesel,150 KM,Manualna,SUV,5.0,5.0,Szary,Używane,46 900        PLN
Peugeot,307,2004,190 000 km,1 587 cm3,Benzyna,110 KM,Manualna,Kompakt,5.0,5.0,Granatowy,Używane,10 600        PLN
Peugeot,3008,2017,140 000 km,1 199 cm3,Benzyna,130 KM,Manualna,SUV,5.0,5.0,Czarny,Używane,76 900        PLN
Peugeot,3008,2022,1 km,1 199 cm3,Benzyna,130 KM,Automatyczna,SUV,5.0,5.0,Niebieski,Nowe,154 260        PLN
Peugeot,308,2017,163 700 km,1 560 cm3,Diesel,120 KM,Manualna,Kombi,5.0,5.0,Srebrny,Używane,40 900        PLN
Peugeot,3008,2018,45 200 km,1 560 cm3,Diesel,120 KM,Automatyczna,SUV,5.0,5.0,Biały,Używane,105 000        PLN
Peugeot,5008,2018,152 000 km,1 997 cm3,Diesel,180 KM,Automatyczna,SUV,5.0,5.0,Biały,Używane,99 630        PLN
Peugeot,3008,2023,1 km,1 199 cm3,Benzyna,130 KM,Automatyczna,SUV,5.0,5.0,Biały,Nowe,158 900        PLN
Peugeot,308,2023,1 km,1 199 cm3,Benzyna,130 KM,Automatyczna,Auta miejskie,5.0,5.0,Zielony,Nowe,153 767        PLN
Peugeot,207,2009,179 000 km,1 560 cm3,Diesel,110 KM,Manualna,Kombi,5.0,5.0,Czarny,Używane,17 900        PLN
Peugeot,2008,2022,1 km,1 199 cm3,Benzyna,130 KM,Automatyczna,SUV,5.0,5.0,Czerwony,Nowe,133 762        PLN
Peugeot,207,2006,154 750 km,1 360 cm3,Benzyna,73 KM,Manualna,Auta miejskie,5.0,5.0,Zielony,Używane,12 990        PLN
Peugeot,5008,2022,3 km,1 598 cm3,Benzyna,180 KM,Automatyczna,Minivan,5.0,7.0,Inny kolor,Nowe,189 900        PLN
Peugeot,308,2023,1 km,1 199 cm3,Benzyna,130 KM,Automatyczna,Kompakt,5.0,5.0,Zielony,Nowe,125 000        PLN
Peugeot,3008,2022,1 km,1 199 cm3,Benzyna,130 KM,Manualna,SUV,5.0,5.0,Srebrny,Nowe,137 000        PLN
Peugeot,508,2013,229 000 km,1 560 cm3,Diesel,115 KM,Manualna,Kombi,5.0,5.0,Srebrny,Używane,27 900        PLN
Peugeot,2008,2023,1 km,1 199 cm3,Benzyna,130 KM,Automatyczna,SUV,5.0,5.0,Pomarańczowy,Nowe,152 500        PLN
